These temperature readings were taken by pulling the temperature data from the PiHole Admin page (see accompanying script).  Readings were taken every 15 seconds over a 12 hour period.  The room temperature decresed about 6 hours into the readings and you can see the associated drop in the Pi's temperature.,,,
Temp Readings Bare,,Temp Readings Heatsink,
C°,F°,C°,F°
31.5,88.7,31.5,88.7
31.5,88.7,30.9,87.6
31.5,88.7,30.4,86.7
31.5,88.7,30.9,87.6
31.5,88.7,30.4,86.7
30.4,86.7,30.4,86.7
30.9,87.6,30.9,87.6
31.5,88.7,30.4,86.7
30.9,87.6,30.4,86.7
31.5,88.7,31.5,88.7
30.9,87.6,30.4,86.7
30.4,86.7,30.4,86.7
31.5,88.7,30.9,87.6
31.5,88.7,30.9,87.6
30.9,87.6,30.9,87.6
31.5,88.7,31.5,88.7
30.9,87.6,30.9,87.6
31.5,88.7,30.4,86.7
31.5,88.7,30.9,87.6
31.5,88.7,30.9,87.6
31.5,88.7,30.9,87.6
31.5,88.7,30.9,87.6
31.5,88.7,31.5,88.7
30.4,86.7,30.9,87.6
31.5,88.7,30.4,86.7
31.5,88.7,30.9,87.6
31.5,88.7,31.5,88.7
30.9,87.6,30.9,87.6
30.4,86.7,30.9,87.6
31.5,88.7,30.9,87.6
30.4,86.7,31.5,88.7
30.9,87.6,31.5,88.7
30.4,86.7,30.9,87.6
30.4,86.7,30.9,87.6
31.5,88.7,31.5,88.7
30.4,86.7,30.9,87.6
30.9,87.6,30.4,86.7
31.5,88.7,30.9,87.6
31.5,88.7,30.9,87.6
30.4,86.7,30.9,87.6
30.9,87.6,30.9,87.6
30.9,87.6,30.9,87.6
30.4,86.7,30.9,87.6
31.5,88.7,30.4,86.7
30.9,87.6,30.4,86.7
31.5,88.7,30.9,87.6
30.9,87.6,30.4,86.7
30.9,87.6,31.5,88.7
30.9,87.6,30.9,87.6
30.9,87.6,30.4,86.7
30.4,86.7,31.5,88.7
30.9,87.6,30.9,87.6
31.5,88.7,30.4,86.7
31.5,88.7,30.4,86.7
31.5,88.7,30.4,86.7
31.5,88.7,30.9,87.6
30.9,87.6,30.9,87.6
30.9,87.6,30.4,86.7
30.9,87.6,30.4,86.7
31.5,88.7,30.4,86.7
30.4,86.7,30.9,87.6
30.9,87.6,30.4,86.7
31.5,88.7,30.4,86.7
31.5,88.7,30.4,86.7
30.9,87.6,30.4,86.7
30.9,87.6,30.4,86.7
31.5,88.7,30.4,86.7
30.4,86.7,30.9,87.6
31.5,88.7,30.4,86.7
31.5,88.7,30.9,87.6
31.5,88.7,30.9,87.6
30.9,87.6,31.5,88.7
30.9,87.6,30.4,86.7
30.9,87.6,30.9,87.6
30.9,87.6,30.4,86.7
31.5,88.7,30.9,87.6
30.9,87.6,30.9,87.6
31.5,88.7,30.9,87.6
31.5,88.7,30.4,86.7
31.5,88.7,30.9,87.6
31.5,88.7,30.9,87.6
30.9,87.6,30.4,86.7
31.5,88.7,31.5,88.7
31.5,88.7,30.9,87.6
30.9,87.6,31.5,88.7
30.9,87.6,30.9,87.6
31.5,88.7,30.9,87.6
30.9,87.6,30.9,87.6
30.4,86.7,31.5,88.7
31.5,88.7,30.9,87.6
30.9,87.6,30.9,87.6
31.5,88.7,30.4,86.7
30.9,87.6,31.5,88.7
31.5,88.7,31.5,88.7
30.4,86.7,30.9,87.6
31.5,88.7,31.5,88.7
31.5,88.7,30.4,86.7
30.4,86.7,30.9,87.6
31.5,88.7,30.4,86.7
31.5,88.7,30.4,86.7
31.5,88.7,31.5,88.7
31.5,88.7,30.4,86.7
30.9,87.6,30.9,87.6
31.5,88.7,30.4,86.7
30.9,87.6,30.4,86.7
30.9,87.6,30.4,86.7
30.9,87.6,30.9,87.6
31.5,88.7,30.4,86.7
31.5,88.7,31.5,88.7
30.9,87.6,30.9,87.6
30.4,86.7,30.9,87.6
30.4,86.7,30.4,86.7
30.9,87.6,30.4,86.7
31.5,88.7,30.4,86.7
31.5,88.7,30.4,86.7
30.9,87.6,30.4,86.7
30.9,87.6,31.5,88.7
30.4,86.7,30.4,86.7
31.5,88.7,30.9,87.6
30.9,87.6,30.9,87.6
31.5,88.7,30.4,86.7
31.5,88.7,30.9,87.6
30.4,86.7,30.9,87.6
31.5,88.7,30.4,86.7
30.4,86.7,30.4,86.7
30.4,86.7,30.4,86.7
31.5,88.7,30.4,86.7
30.9,87.6,30.9,87.6
31.5,88.7,30.9,87.6
31.5,88.7,30.4,86.7
30.4,86.7,31.5,88.7
30.4,86.7,30.4,86.7
31.5,88.7,30.9,87.6
30.9,87.6,30.9,87.6
31.5,88.7,30.4,86.7
31.5,88.7,30.9,87.6
31.5,88.7,30.9,87.6
30.9,87.6,31.5,88.7
